currentDifficulty,currentPlayerLives,id,levelsBeat,newDifficulty,playerLifeTimer,totalEnemiesKilled,totalPoints
1,2,3fPmwtT9rl6W931x4LjZ,2,2,35.47421,3,300
1,3,3h2hWO1qsdaRvoPTFFSx,1,2,15.39901,1,100
6,1,3jvJr3sntyV9iFrkKtQA,6,7,156.2127,17,17300
6,0,3mHW8CmhfWGhGG7Hxkro,5,6,38.78643,1,2400
7,3,4Ff3eCx4VSui9vGpikdQ,6,8,42.88721,2,11200
5,0,4GlAtaBOzPNHdXebF9aK,2,4,45.83327,3,4800
3,3,4Wdjc6TaS78s6XGYk4Gu,1,4,9.650799,1,400
3,3,4XjA2FTvJ0mNLnC1vtk3,3,4,20.43559,7,2100
6,1,4co6utGC5Q6Nzno4H6Ot,6,7,65.72041,17,17300
8,0,4dgFBhO47rfFMjz5TU7I,5,7,13.06983,0,0
4,2,4eGShcKkkB7GCoX1I4AS,4,5,24.80929,11,5300
2,2,4pLYIFOtu9ytCBADtc90,2,2,62.25291,3,600
3,3,58UdHdxLjamsLT7iQ3Q3,4,4,40.18794,11,2900
1,0,5AhsuQIyZJm83jrivtLQ,2,1,17.30431,1,100
6,0,5DMz5QrfbIWASCakWWoz,7,6,9.215983,17,8600
7,3,5f5TDOkLJZSwFxvtwCVT,6,8,92.05009,2,11200
6,1,5nwM1AcBOqEwI9befpug,7,7,28.56934,5,11600
2,3,6CtfImymjHfGGrUzoflg,2,3,9.887795,3,500
3,3,6RI7EZIYedF1obmVPl4E,3,4,21.8203,7,2100
2,3,6VRsSAzQJFkwpbQXaaZ5,2,3,25.66913,3,500
3,3,6b8h2GBuKusoq96FkBnS,3,4,23.86729,4,1600
10,0,6zxTAxleF9vcBICGIDVJ,5,10,46.40157,1,38400
1,3,74mjULbBZMGogAQwbXXg,5,1,50.7442,12,1200
1,0,7LRlaH2doWdGa9UHk9PJ,0,1,13.95317,0,0
2,0,7Nmi0LZsGX3RJ4eWt2pu,4,2,74.62158,14,2700
1,3,7aPskoFKThqeALI4wOzZ,1,2,19.03807,1,100
1,0,7x5eTEHl0iAhGhGF0UvO,0,1,11.532,0,0
1,3,7x75N1g037jy0uuJyWPY,1,2,12.60369,1,100
2,3,8G5ffBqsuJKwmbfucCs3,2,2,19.98654,3,500
7,0,8OsXT59U5TAEJxjFofne,6,7,12.67549,18,23700
1,3,8p16vqyA9l0xPKnf21iu,3,1,118.945,4,400
1,0,8q9jhTIOzCyFxTZSowsq,2,1,7.270997,1,100
2,3,9AIJoYtGlJMXQCJTGoZT,2,3,13.28668,3,500
2,3,9H0cd5rSn2Loty0DAuwd,3,2,30.39877,4,800
1,3,9H7ZAqLIGzDEpyzCfU5K,1,2,16.19582,1,100
1,3,9N0W5ae44Kl6aDk8gj53,1,1,7.734395,1,100
5,2,9PBPa2dTBwSgps0C1Jm3,5,6,16.65338,15,11700
1,3,9Z8CxMNXzuxjEANeKyce,3,1,19.37279,4,400
3,2,9fILZaLVJh1vOOGkCbeE,3,4,20.13678,7,2100
1,0,9h7lgfDoD1FtYq5e4fvz,2,1,10.1143,0,0
4,3,9o625KBeslxmcCDdqCQz,4,5,21.43672,11,5300
6,2,9qIpqEDavgApdBaRBoSQ,4,7,18.82549,8,19200
2,3,9xONgdTccJ0fTUj2Tw7A,2,3,12.23565,3,500
2,3,A5EuXkeptZHDqLAWEG0P,2,3,31.34135,3,500
6,0,ABtcq2IAkT3iyglScg7J,2,6,5.151299,0,0
2,3,AOHLoVj1yJokWMmh4pJr,2,3,18.73679,3,500
4,3,ASkJVT6dLl1eGL1v4gMT,3,5,55.0679,4,3200
1,3,AVegKJBG4hWCeVvqP0Ir,1,2,8.556699,1,100
1,0,AWgjtA6zg7Qk3GWTskLR,7,1,117.2399,6,600
4,3,AgglfQmU0jUulLKtAkA1,4,5,25.29721,11,5300
3,2,AtW9WsamyRZoDbcztiWc,4,3,89.96149,11,3700
1,2,B4oC8P2wTEtGcDhJTHAk,3,1,20.1683,4,400
5,2,BCqmHJL0PhGcEExZUizp,7,5,88.85844,5,7200
1,1,BE11DfqHDZDaTx5mthm7,1,2,22.5276,1,100
9,0,BKokYugIVChst8wUyE5g,7,9,20.89838,6,84800
2,3,BKooIdNkIl4wROUIWaTS,2,3,14.63805,3,500
2,1,BOflpaYQZqjki2ckHGw8,3,2,35.85908,7,1300
2,2,BX1eDgPIChQ83gSDu4cQ,2,3,15.33303,3,500
1,1,BXLqmJJszg1q0FZrBxIU,1,1,13.12057,1,100
1,3,BXjI14ojmpmlI48wJrcA,1,1,16.24918,1,100
1,3,BoGquOkp00TZ164RVeC2,1,2,8.068497,1,100
6,3,Bp04OFJKetuUdysfsbAz,6,7,59.45422,17,17300
1,3,Bs8PU12hAKHsZ22TJzgt,1,2,10.18317,1,100
2,1,BuueupWeq4C6vhh5Cjzz,2,3,21.04917,3,500
3,0,Bwde0gwHvidK5DAFOo3g,2,4,39.27426,6,1700
3,3,ByTCXFtUjs5gjobQn6zm,1,4,19.3853,1,400
3,2,C3wZvqOBtVbNaaRbYdkM,3,4,17.1099,7,2100
2,3,CAgVR0acTdrYBRlTBK1C,2,3,21.52617,3,500
1,2,CDJXUVyy0JIjqIrMBPIF,2,1,31.51128,3,300
1,2,CExqYTwE29Ipmi5WpnTe,1,2,14.8308,1,100
1,2,CIvolssWlgNRwySVqKjE,7,1,141.1898,17,1650
2,3,CLauuDD3OMsQd5VlcJpr,2,3,13.10309,3,500
2,3,CM421d2AMWsAqVu3fjoi,2,3,35.74792,3,500
2,3,CTQmEmAixAR7C593dgtB,2,2,18.25508,3,500
1,3,CaQd2y3gBo8QlRKnaAro,1,2,7.372159,1,100
1,2,CbjgQrzRsSrhwp60HeOs,3,1,53.85321,4,400
1,1,Cfum0eqgnCPnK1dzIOY8,1,1,12.27002,1,100
3,0,CjQV1GTjS0f9zZrC3Sor,2,3,35.90192,7,2100
4,0,Clb7QrjaNqjgV0XuouXn,2,5,7.937396,0,0
2,0,CzhPpIsLUIIVnJYyFfJQ,2,1,16.349,0,0
3,3,D4sPOfYPdVEP45PsrchB,3,4,19.5141,7,2100
3,2,D67qF33cwTbvp4X9iUmm,1,4,18.26507,1,400
8,0,DQYo3cZUvd4WrWWKHZ0K,7,7,35.01939,18,53600
1,2,Di9WGporjKMgIpkk8Nxf,1,2,20.18679,1,100
1,3,DjrSowEOK4iBvfQlp6Pm,1,2,13.88608,1,100
4,3,DloL3Gip7Z2ZqeSgvLcm,5,5,15.83418,15,5900
2,3,DotWHpvLFEu41HIPbmk9,2,3,13.94817,3,500
5,0,E3Ohfd11hkKb994BBp5v,4,6,7.054296,12,6900
5,3,EPAVrJmeW5dWPXwGH7mS,5,6,18.2156,15,11700
4,1,EQjeoepm8VAKrYyd36mQ,6,4,44.63384,2,1400
6,0,EVS8Lqck5vxNvFw3cIc3,2,5,38.62771,1,3200
4,0,EWLoibrNbbV5d3Um4Qn0,3,3,11.7006,8,2900
5,1,EdcSpl5UmDJwpGCWfKVB,5,6,15.76759,15,11700
3,2,EgoVVtpbeF9pXpdJKPKJ,3,4,30.52038,7,2100
1,0,F3ovMs468nSLqyVnECRO,1,1,8.800949,1,100
6,2,FCQ4VUV8TYYPIm4j0PDF,6,7,57.03873,17,17300
1,3,FD5pfNGeaBX2dhSywq18,3,1,19.88073,4,400
1,1,FFJm39ofvb6JVrzAJ8aR,1,1,17.82807,1,100
1,0,FNhnQVBTsUADT7QFVwJM,8,1,102.1797,9,1050
7,2,FOpzcplsXZ0xjvfrhMoS,7,8,33.70267,5,23200
1,0,FQ7XnfzkiibHP5OQJST3,3,1,5.535196,4,400
1,3,Fd3JrOQOvqgeG76sq0AW,4,1,24.42911,8,800
1,0,FnGHxRLti4ylQ6FC29y0,2,1,39.3527,2,200
5,3,FsyPuN9wnJBxRCISOFzl,5,6,15.42028,15,11700
4,1,G6Z6BwGdL1gEXFL2Lj2u,4,5,14.93708,11,5300
2,0,G8v4c9ewf4ySRD6kqZea,1,3,20.91812,2,300
4,3,GRn1n7VNfr4M7Mu9WyHr,4,5,16.38195,11,5300
1,0,GYId4HHNGJKULpnMQmVe,5,1,49.63729,1,75
3,2,GeQXJBe4uFeJEPjtzoQH,3,3,67.0049,7,2100
4,2,Gx2HzbbGuYEFKhtHS5mv,4,5,28.45303,11,5300
3,2,H3miuxhmLwOHle5FocvY,5,3,20.37206,12,3200
7,1,H7ZTnCt1n4dbebnr8SPU,7,8,36.73658,20,34900
2,3,HHrEHukL3P0AdH5MY5pH,2,3,12.45919,3,500
7,2,HyFxMvyf7q969yV5Oybn,6,8,50.67066,2,11200
6,3,IB166Z7Q1FwyTNMZY73q,6,7,55.82012,17,17300
4,0,IEe2Ud8pliZ60gUuP88J,4,3,11.1539,13,4500
4,2,IF0Gicxv3ibGDsMXdKwm,4,5,16.38423,11,5300
2,2,IOyEvkYXzFUTij10HEsE,1,2,12.41629,1,200
1,3,IamhPXMtGqXo3VY33qVc,1,2,12.13902,1,100
4,2,IxmCje4Tq3rHOGAPJBjb,7,5,38.61064,17,6100
1,0,JB2p3RY2BHwbueHnGnTf,5,1,99.86095,13,1275
3,3,JF7nlsGFFrMZBmNXZDeC,3,4,30.13698,7,2100
1,3,JI9LeRlhYp893T01zLp5,1,2,8.629698,1,100
2,2,JRupFVsgohgwQooFxyb3,2,3,23.55569,3,500
5,0,JfgpAJkXQJ891laHbZI8,2,5,44.74899,0,0
1,3,JgbwTs1BUEwr5KmU7OIn,1,2,8.683772,1,100
1,3,JhRE80XFWlEVLsaxofdF,8,1,52.37414,8,900
1,3,JuPc5UAKmVIpfI8dzOlf,1,1,13.87503,1,100
4,1,K0xW3SjZoKg38MjtBdfO,4,5,35.28538,8,4800
8,3,K7qrt7Kne0g4aJARskoE,6,9,69.84792,2,22400
7,0,KE6sYof2f94giFw5PdxA,7,7,10.36988,20,17500
3,0,KQkVhQ7sG3PQD8j1A1lN,2,2,41.70073,4,900
2,3,KVfsQ0iaBbOGhcu7sQMU,2,3,15.52142,3,500
5,3,KjH65T3eNcB1FkgniDqW,6,6,24.27008,2,2800
6,2,KvJwS9V8oJz1DardldJE,6,7,73.12033,2,5600
1,3,L37eQw5MXb9KvRmt54tk,1,1,12.89951,1,100
2,2,LFZFlN2ZdCWqz83fFmii,2,3,15.10701,3,500
1,0,LOLBgeoNIEAa0ftYkn1f,3,1,65.65945,5,500
1,0,LUv8tBX62en4giDPOsNp,2,1,21.77037,1,100
9,0,LciyjOsUgIbvtWKWibyZ,9,9,46.05172,10,78800
8,0,LdISGMMUfij6to0nr5CV,7,9,17.6972,20,34900
2,1,LwBmuOSCxG75Nc1rOjrP,3,2,43.43689,4,800
7,1,LzPZG6api7MDiKxHCuqX,7,8,33.93694,17,34400
2,0,M7Cta4G2XjDc1MrEcYdI,1,3,18.45262,1,100
5,0,MJNQbuqRpEP9ReZFYGUb,4,6,9.819016,12,6900
1,0,MWIjf0JJwUgDBD3GPckm,3,1,66.74062,6,600
10,0,MyFhRnSIIzCKxYcRDwDZ,5,10,15.08689,0,0
1,0,MzjmGDWR3jjRrcXtKEe3,2,1,72.4555,5,500
6,0,NAlcm52ZCBUc3NcaS4pc,2,6,34.05396,1,3200
4,2,NGHSI9IIkTyvUuexPgkN,4,5,19.17541,8,4800
1,3,NNBNMz3m7Unvjj5aSnGY,1,2,7.283569,1,100
7,0,NPE6uu4DFpbahZeGxU2l,6,8,86.05533,19,30100
1,2,NafN0vfSkI14ydi8FUy2,6,1,86.05324,14,1375
4,2,Nb2PYOZhcEB6n6mF3Pa0,4,5,16.27135,8,4800
3,0,NkvGPgPEmKFNBd2PXqxF,2,3,2.636899,3,500
5,2,NuL5nW8g0wFY7SSyVNNE,4,6,23.84368,8,9600
8,0,Nw2mALBFMLMhaXnuBLFT,5,9,24.11706,12,44800
2,3,OBkqAimV7vP8EWUEg2TW,3,2,30.17231,4,800
6,3,OFVDenaINU1sVO9m3qe5,6,7,89.4288,17,17300
5,3,OGy02u3BU2vvzJBrsqms,10,6,182.2342,3,84800
1,3,Obd7i8UpCHqzmZvI1Cmd,9,1,40.44326,2,300
10,0,OlYJaaYM0jyg2Y4K9mTk,5,10,28.821,1,38400
6,0,PAAsCIQDUa8t7nWy7kje,4,6,6.819498,8,9600
2,0,PDASLDYsPMMcdSYaSTNK,1,2,27.68007,2,400
4,1,PE3NtWhb0B9qcXurj8RQ,6,5,40.92075,14,4200
1,0,PF3PMQdfM7jFBjJ8HwkL,9,1,102.008,2,300
1,0,POqZDM8GVsmnCIQzx0Y9,2,1,8.7839,0,0
9,2,PVHOpRRz8RrZIKhjcPfR,9,10,56.93737,10,157600
4,1,PXBO72BgJz2FCqax9W6b,4,5,24.86438,11,5300
1,3,Pas3nFGeKN0P5LrOwJIG,1,2,12.23411,1,100
2,3,PzmyvtIgIpBgbUXe0muh,2,3,19.5857,3,500
8,0,QAOIH5eraHDtQ2EiCISB,7,8,23.8524,20,34900
4,0,QFOxnGN4djIu1T6aZAoo,1,5,23.01715,2,1200
8,2,QMKQxGeQsAWkK4KgpGIJ,7,9,41.83734,5,46400
1,0,QZfrFJpofqb1vs2OMkDe,2,1,19.22861,1,100
1,1,Qarq5txFrqj24QWpVERU,5,1,48.45781,12,1200
1,2,QpqnIvhsRsjyqxgeW7pa,3,2,20.43468,4,400
2,1,R1ZMsBp6smr3aSZePI8k,3,2,36.63091,7,1300
3,3,R5m6t015AGRNR0pJ419U,3,4,22.06487,4,1600
1,3,R6A66spvE68Rfu19zNph,1,2,8.953384,1,100
1,3,RE08RXyseYxbTAh7Shm9,1,2,8.319697,1,100
7,1,RMJEHOFS2XzK8vnSsTJG,8,8,28.02741,8,40400
2,2,RMuseMcriqSWJHKYt1cI,4,2,34.85367,8,1600
3,1,RS7ZLi15qzCwIcPmZx0x,5,4,24.62062,12,2800
1,2,Ri6EZiGNp6I1dQXZf5NX,1,1,15.36263,1,100
3,2,S9cr077e8Vq0uUTJ7ABE,3,4,51.00241,7,2100
8,1,SANP3Ls7WApu03JOXoZs,9,9,32.16929,10,78800
5,1,SIzrInEt2fD6ZIOz8xMp,5,6,16.26966,15,11700
5,0,SLxzUqX2y30MvJVn3i7U,3,4,37.18468,7,8000
2,3,SSMKBlzJTe8a8R40bjhW,2,3,24.1042,3,500
3,2,SSySzo8S7yhuMEJIdruk,4,3,37.21758,8,3200
2,3,SVnHB0ztYyPeffmku63U,3,2,16.91039,4,800
8,2,SczyPPj41oeHppXh5nT1,8,9,46.50365,8,80800
1,3,SlmC90HilHYZqKy0ttkz,1,2,8.65379,1,100
1,0,TaLI8rIDQ92Y4ZfRnGj1,2,1,29.02749,4,400
5,1,Tj9JCpWuwaR6j9eyDVCu,5,6,17.46842,15,11700
6,0,U7fRyU0sGVhFPnHJTaaQ,2,7,25.34338,0,0
4,3,UAAMh2ojXGeau1YXUjcD,4,5,11.80369,11,5300
1,3,UAjLmOasXEuKDrhJdhL0,7,1,104.34,5,450
1,3,UJdiRgZBfobro6S0LYL0,1,2,7.586493,1,100
2,0,UOiyFSOCtbJczOeW14SC,3,2,56.72269,5,1000
5,1,UXzC1oU2pg3uVRocX9iS,8,5,122.8462,8,14400
1,3,UYsi3JkH7k9kt1CcqgFO,1,2,8.319692,1,100
3,2,UdYrGlzdxhAoGrkMbhbx,3,4,16.01224,7,2100
1,3,UgZW3BHBSAZbyuJy3enV,6,1,24.94519,2,175
5,0,UhwN9jK1RDUfkRglcPCT,4,5,6.985098,12,6900
1,2,Uj84M2T7GFISc0Bdc0ex,4,1,149.1204,8,800
6,0,UmSY3ojxayM8AwQEPT8I,5,5,17.22098,15,11700
2,0,UpgykY4p9ROQVmywmpgG,4,1,41.29103,8,1600
2,3,UpjlgkgI3YwQa3AHMAsN,2,3,16.21587,3,500
3,3,UxWK6qauZF0ITLKwqlWs,3,4,16.75459,7,2100
9,2,V2ZOI5Pwbsm2QcQ3eEnr,8,10,49.90173,8,161600
1,1,VFzZuJwnYIf7jBcmrjy0,1,1,10.0769,1,100
4,3,VtizFp8PlKxduHu4jFSe,4,5,18.38677,11,5300
1,0,VtqleMZt4ja8pNEjaXvF,2,1,77.73885,5,500
2,2,VuoamlXEhG8mpDruTjmr,2,2,25.85437,3,500
3,2,VwoKp3ve3zhXdjarftwt,3,4,31.44348,7,2100
3,3,W10L9GW0PZnzYvygLJUN,4,4,13.03628,11,2700
1,3,W6N4hVnktZky2lv2PFQ0,1,2,9.496995,1,100
10,1,W9EbtfEQ33w6OND5FQGO,9,10,57.33725,10,315200
1,1,WIRDXT4Gr8R0E3iY5a51,3,1,53.53501,4,400
5,2,WIp4NG0LDli9t7MkACuU,3,6,22.68654,4,6400
3,2,WRGdRDQGcKCfILYHTMkr,6,4,46.92349,14,3900
1,0,WbXQyhabB4jnUztjWHDk,2,1,9.424102,0,0
3,3,WeaJ08xAb4IYO7upuic6,3,4,34.07447,7,2100
2,0,WyxDpH6jS2Vl7pdvRaHu,2,1,70.25422,3,600
2,1,X0wO2VLB2vgPEcDV98Hc,2,2,20.00249,3,500
1,3,XJWVyQe6yfCaFdogHWEh,7,1,25.41249,5,450
1,3,XU1UDLGBvVgV9cssW1IE,1,2,12.27161,1,100
6,2,XnE4bhw5Om9MZON5wXTP,7,7,40.98682,20,17500
7,2,XufYFZNOPO1HbHMAmsRE,6,7,62.00944,2,11200
5,2,Y05sY0uoE4McEMqFCLqJ,9,5,44.26984,2,4800
4,3,Y6HFq2EvpF8SXml6BRYD,3,5,67.89856,4,3200
7,1,YAWw1SInWiMTydzduuI0,7,8,86.95826,5,28800
1,3,YAa9SCHoPe9gu9IDXSOx,7,1,53.30763,5,450
7,1,YHKbIn1pGAWuh6SO8gEc,5,8,23.76268,12,44800
9,0,YJ5cr2fCG0jx0fxiX9On,7,10,12.40299,5,46400
2,3,YiQ9yMp8nm5qNR1jeLGP,2,3,15.45313,3,500
1,0,Ylv938DyhwKWXK9g5S5n,3,1,2.936198,4,400
3,3,YvXJYJX7fCeibgIQBunn,3,4,21.25407,7,2100
1,0,ZA2Mh5xJOHlVpzsKyhYY,2,1,19.94692,1,100
8,3,ZMD5stroTGlO02m7NVDt,7,9,29.65645,5,46400
7,1,ZOZ4ZWjvEzmCmqtcqyGW,7,7,103.3277,5,28800
2,3,ZPIVfYFqdXWKHGN1cwcE,2,3,34.63608,3,500
2,3,ZTLqRnrI7UniPcq4aIOm,2,3,18.5058,3,500
5,0,ZXIkvJiCYRpkMlUIm8AM,9,5,83.9577,2,4800
2,3,ZcR271KNIW5JAfOHy4qw,2,3,15.71099,3,500
3,3,Zp0Cox7W1fl9rnLhuGeJ,3,4,19.40336,7,2100
6,0,ZrRs9nCZe9YJ8yZx1U4q,2,7,36.5578,1,3200
1,2,ZtiRCfO8mWF7WnlxNSqM,1,1,12.07009,1,100
3,1,a7F27VUFb5OI1w2XhoSL,3,4,14.7301,7,2100
1,1,aQ0iC8sqjIwBOPmzb6MC,2,1,34.53608,3,300
9,3,avRxmCWhjN1GH0NpRWZx,9,10,41.8703,2,76800
1,3,b5IGpr0DASqxUXQrnkNu,1,2,14.48693,1,100
4,3,bMwpI4E1C3yXH8mF7Fhd,4,5,19.91872,8,4800
2,0,bo3pkX2KfQtJgIBARzqc,1,3,7.511807,1,100
2,2,c0eEpa9Q4NG7nXiNbiLa,2,3,20.0184,3,500
3,3,c4bzNcjmNLOARsqUFKII,3,4,16.63738,7,2100
2,3,c9Zf1HnoDIQaEZPhrUV5,2,3,33.48591,3,500
2,3,cBTL0YFE4afLtiXF0iay,2,3,35.09955,3,500
6,2,cFwdA71SRNGgliFIo5Ku,6,7,71.20419,17,17300
1,3,cMr3dilIdtkkbnQQKhww,6,1,26.12897,2,175
1,3,cR19Saxguoun7WWrDDbq,1,1,13.6613,1,100
2,0,cTuKMNUThStPxLyd9Xha,1,1,23.49499,2,300
1,0,cXGeHlMKJPPYaIdDhzHC,2,1,58.28391,2,200
7,1,cwRSRXzy09S8JKtoMK61,7,8,62.86617,20,34900
1,2,cykezMaaYQLjMzypJGaW,1,2,15.43604,1,100
1,3,dCrtXpWcvyP1YJjbH48W,1,1,18.39929,1,100
1,3,dG7WUJgF6LEQl8qYQsjv,1,1,14.66805,1,100
4,2,dHR8c9pAO9IaXwW9jdGP,4,5,23.22849,11,5300
2,0,dP8LfykyuSRP18aHClnA,2,2,25.3359,4,500
7,3,dPGHv1mmcnyoRIaQ2ETe,6,8,39.68731,2,11200
4,0,dPTp15nqpT8kAFbmB4bk,3,3,11.27145,9,3700
1,0,dY9e8HzMBaEccjzQxFn9,3,1,23.01351,6,600
7,0,dawHKdIanxa1rgYzqdRq,6,7,8.070197,17,17300
1,3,dcqdVaCYgYl3C5G2w5N4,1,2,11.51689,1,100
5,3,di8DbvtFLwHWEqagiOUy,9,5,32.41951,2,4800
1,3,dqpEJoomGv87rrcHpAaq,1,2,14.27903,1,100
2,3,duJeZ3Q5FR5g1pLLejPq,3,3,16.03617,7,1100
10,0,dwwyO3TmHTzRWHC9z6n6,5,10,18.55349,0,0
1,3,dxz2ttX2QVJ546IbeQ0I,4,1,33.29626,8,800
2,0,eESuRQXNAS0TjT7rR3Qp,1,3,48.47368,2,300
1,3,eS1MUi9DWFySKCMSwVkE,1,2,9.749768,1,100
3,2,eUwVoJf8ymM6EYAaG1eO,3,4,50.03053,4,1600
4,3,ebIRGEvjuilspA9W1Fxq,4,5,12.18677,11,5300
2,3,ely1G8VDP1kHkY4J4SqW,2,3,10.46998,3,500
3,0,eohFMiLAOpQjp2uT1G3h,2,3,20.02213,3,500
1,2,f5tNUy0Mc5XSE0H7BJdv,1,2,9.386185,1,100
1,0,fRUvfmZchnK81edXgFD0,7,1,58.50552,5,450
5,2,fTWCKiscE59d9YeRGuh4,5,6,17.65527,15,11700
8,0,fk4fjHwkFKZrgSFmVMtO,2,9,10.33511,0,0
2,0,fkd46Z5DKQwrGc3gkK5V,3,2,43.47845,10,1900
5,0,ftEp8eKz1COGol4ltNcr,4,6,14.95025,13,8500
6,0,fwcxTJgbqOVkWb6aZGfF,2,7,13.11821,0,0
8,0,gNxPuG1HMn7NXlnmMJ6J,7,8,10.87179,20,34900
5,1,gTPAd41yiqNQZ48zg4bb,5,6,22.13806,15,11700
1,3,gib4B2jjI83T1B1XdyTm,1,2,9.202489,1,100
7,0,gnrrzBrEuNst1gXE4qzk,6,7,9.086303,17,17300
10,0,goWhYFHt84HFUfwSO3uB,5,10,22.60332,0,0
6,0,grrwHDnFVuPKtxmwb31V,4,7,14.74081,9,12800
2,3,gtMRruO015jjTYiuMBOP,2,3,19.54391,3,500
5,0,guEydWNXXgzAv76sS8vA,2,5,24.19788,0,0
10,0,gusnHEwwYo297KdwtQOq,2,10,81.51494,1,51200
5,0,gzLbD1xtqViBG34sfpL0,4,6,7.915853,13,8500
3,3,h38pATVetDw66VLP7ZNS,3,4,16.96653,7,2100
4,0,h4jexZBM69qyi8zbmMuU,2,4,25.63855,1,800
6,1,hO8vp1BnI3ogTUVuqMnj,6,7,81.55434,14,16800
1,3,hc0aiOBLzMmFoVY7FgAD,2,1,45.1352,3,300
4,0,herohn9k5VZUZHKTlqrX,6,4,51.39484,2,1400
6,0,hh87AdtxqSdprZZxJqeD,5,5,27.98177,13,13600
9,1,hpHqX914jP5R4NnSpF6a,10,9,138.6254,3,1356800
3,1,hylfTxSjiL09wyX6WX9G,3,4,29.25183,4,1600
3,0,hzoImrwFXoC1uO6ImLUF,2,4,16.90229,5,1300
2,3,i2OI7oHkTciHE0W3vy3b,2,3,52.51499,3,500
1,3,i4NFQndGXZdHMMbs3Xuq,1,2,26.91405,1,100
1,0,i5fjWVLpugRdPEpuJlz0,8,1,213.1645,21,2250
1,0,iBj890pi8qfhdV9V4VdH,2,1,14.03271,1,100
7,0,iTbvLPvquouy9vtwKn84,6,6,18.47016,18,23700
5,2,ic5QvubjUcLXznRKMXUQ,3,6,171.5224,4,6400
1,3,icSpX5Nyw2u2G2xqRWcl,1,2,17.78826,1,100
5,2,iy0KwhTXPNR0GAB4AX7o,4,6,18.78941,8,9600
1,3,izL5xWipIherSeLOMyFY,1,2,20.96505,1,100
5,0,j6WU08RySEU2s4aWI6SB,5,4,53.84312,1,1200
1,3,j9CUoX0urTXr8bXX6bqA,1,2,24.30525,1,100
4,2,jErUmwEUrYeaCwUxlCgi,4,5,14.76245,11,5300
1,1,jHAmJg0i4up1Ed4JCwG3,1,1,11.03049,1,100
2,3,jbys43YBtJDClYc3WNFB,2,3,24.22916,3,500
5,2,k4HuNzTYWd1TvA1k7cP9,6,5,47.98717,2,2800
7,2,k5VX9DR74tZZv0vcv4rT,6,7,58.18707,2,11200
6,0,k6nv9Z1XBcGSYjhSBypl,3,6,29.06441,5,9600
2,3,k8vV5IaiQWl6AoQbDTLa,1,2,20.84758,1,200
3,2,kBOR3itAwdc9boODpcxT,3,4,36.05404,7,2100
1,2,kGmyqP0GrKWRrDJ8EJ9X,8,1,162.8453,20,2100
1,0,kMH7bqZdelcUHqNDE6Jp,1,2,4.839895,1,100
5,2,kP8RqO9h9FbenHSFuxQq,5,6,17.51968,12,11200
2,3,kPDkeBEDa316R7mi6XEq,2,3,9.953079,3,500
2,3,khPk8JQFCX8A10zEiUan,3,3,39.0928,7,1300
4,1,ksWGvIhWY86fVns0547r,3,5,63.7808,4,3200
2,3,l05pZ6EV5OB1Zp8iBHBc,2,3,15.92702,3,500
3,3,l0HEcfwWdGR05konBxKp,3,4,22.40349,7,2100
5,3,l0o2ZWefHBJxo6R8M3TU,5,6,19.66154,12,11200
